instructor,rmp_rating,rmp_difficulty,rmp_num_ratings,rmp_take_again,rmp_url,rmp_dept,rmp_tags
"SALDIVAR, TANAKA",3.8,2.1,8,71%,https://www.ratemyprofessors.com/professor/1553008,Anthropology,"GROUP PROJECTS, GET READY TO READ, PARTICIPATION MATTERS, AMAZING LECTURES, CLEAR GRADING CRITERIA, CARING, RESPECTED"
"LIU, HAOYANG",4.0,2.9,7,71%,https://www.ratemyprofessors.com/professor/3150367,Mathematics,"CARING, TOUGH GRADER, CLEAR GRADING CRITERIA, ACCESSIBLE OUTSIDE CLASS, AMAZING LECTURES, GIVES GOOD FEEDBACK, LOTS OF HOMEWORK"
"MOORE, KM",3.3,2.3,6,100%,https://www.ratemyprofessors.com/professor/1330445,Religion,"AMAZING LECTURES, GET READY TO READ, PARTICIPATION MATTERS, EXTRA CREDIT, CLEAR GRADING CRITERIA, CARING"
"MAYES, KEITH",4.8,2.3,4,100%,https://www.ratemyprofessors.com/professor/3107422,Black Studies,"AMAZING LECTURES, GET READY TO READ, CARING, GRADED BY FEW THINGS"
"ANYIKA, MERCY",3.0,4.1,130,52%,https://www.ratemyprofessors.com/professor/2748603,Chemistry,"TOUGH GRADER, TEST HEAVY, HILARIOUS, LECTURE HEAVY, GET READY TO READ, CLEAR GRADING CRITERIA"
"MATNI, ZIAD",4.1,3.0,126,80%,https://www.ratemyprofessors.com/professor/2178071,Computer Science,"AMAZING LECTURES, CARING, ACCESSIBLE OUTSIDE CLASS, LOTS OF HOMEWORK, TOUGH GRADER, CLEAR GRADING CRITERIA, HILARIOUS, PARTICIPATION MATTERS, INSPIRATIONAL, RESPECTED, LECTURE HEAVY"
"PONCE, GUSTAVO",2.5,3.3,110,31%,https://www.ratemyprofessors.com/professor/215272,Mathematics,"TOUGH GRADER, LOTS OF HOMEWORK, GRADED BY FEW THINGS, TEST HEAVY, CARING"
"AGBOOLA, ADEBISI",2.2,3.7,85,28%,https://www.ratemyprofessors.com/professor/88016,Mathematics,"LOTS OF HOMEWORK, GRADED BY FEW THINGS, HILARIOUS, LECTURE HEAVY, TOUGH GRADER, TEST HEAVY, AMAZING LECTURES, INSPIRATIONAL"
"BURATTO, STEVE",4.1,3.2,72,91%,https://www.ratemyprofessors.com/professor/348467,Chemistry,"LOTS OF HOMEWORK, TOUGH GRADER, WOULD TAKE AGAIN, GIVES GOOD FEEDBACK, CARING, INSPIRATIONAL, ACCESSIBLE OUTSIDE CLASS, AMAZING LECTURES"
"LANE, DAN",4.7,2.9,59,91%,https://www.ratemyprofessors.com/professor/2572033,Communication,"AMAZING LECTURES, CLEAR GRADING CRITERIA, GROUP PROJECTS, CARING, RESPECTED, LECTURE HEAVY, TEST HEAVY, PARTICIPATION MATTERS, GRADED BY FEW THINGS, TOUGH GRADER, EXTRA CREDIT, ACCESSIBLE OUTSIDE CLASS"
"NABI, ROBIN",3.6,4.0,59,51%,https://www.ratemyprofessors.com/professor/600908,Communication,"TOUGH GRADER, SKIP CLASS? YOU WON'T PASS., GRADED BY FEW THINGS, AMAZING LECTURES, LECTURE HEAVY, RESPECTED"
"DONNELLY, BRIAN",4.4,2.8,53,83%,https://www.ratemyprofessors.com/professor/1406076,English,"AMAZING LECTURES, GRADED BY FEW THINGS, HILARIOUS, GET READY TO READ, CARING, TOUGH GRADER, GIVES GOOD FEEDBACK, INSPIRATIONAL"
