instructor,rmp_rating,rmp_difficulty,rmp_num_ratings,rmp_take_again,rmp_url,rmp_dept,rmp_tags
"SMITH, STUART",2.8,3.1,131,56%,https://www.ratemyprofessors.com/professor/349755,Anthropology,"GROUP PROJECTS, GET READY TO READ, EXTRA CREDIT, SO MANY PAPERS, PARTICIPATION MATTERS, EXTRA CREDIT, INSPIRATIONAL, EXTRA CREDIT, GROUP PROJECTS, AMAZING LECTURES, EXTRA CREDIT, GROUP PROJECTS, LECTURE HEAVY, PARTICIPATION MATTERS, EXTRA CREDIT, AMAZING LECTURES, GET READY TO READ, EXTRA CREDIT, CLEAR GRADING CRITERIA"
"YU, HONGBO",3.8,2.7,33,69%,https://www.ratemyprofessors.com/professor/2668256,Psychology,"GET READY TO READ, CARING, LECTURE HEAVY, GRADED BY FEW THINGS, CLEAR GRADING CRITERIA, CLEAR GRADING CRITERIA, CARING, GRADED BY FEW THINGS, CLEAR GRADING CRITERIA, LECTURE HEAVY, GRADED BY FEW THINGS, EXTRA CREDIT, GIVES GOOD FEEDBACK, RESPECTED, EXTRA CREDIT, AMAZING LECTURES, TEST HEAVY"
"LAM, KELVIN",3.1,2.7,17,58%,https://www.ratemyprofessors.com/professor/3061230,Mathematics,"CLEAR GRADING CRITERIA, LECTURE HEAVY, LOTS OF HOMEWORK, CARING, TEST HEAVY, CLEAR GRADING CRITERIA, CARING, RESPECTED, CLEAR GRADING CRITERIA, TEST HEAVY, GRADED BY FEW THINGS, LOTS OF HOMEWORK, LECTURE HEAVY, ONLINE SAVVY"
"KEUM, TAE-YEOUN",4.1,3.5,12,66%,https://www.ratemyprofessors.com/professor/2681300,Political Science,"GET READY TO READ, AMAZING LECTURES, CARING, PARTICIPATION MATTERS, TOUGH GRADER, TOUGH GRADER, GET READY TO READ, GRADED BY FEW THINGS, AMAZING LECTURES, INSPIRATIONAL, RESPECTED, TOUGH GRADER, GET READY TO READ, PARTICIPATION MATTERS, AMAZING LECTURES, CARING, TOUGH GRADER, GET READY TO READ, PARTICIPATION MATTERS"
"SHAY, JACKIE",5.0,1.9,11,100%,https://www.ratemyprofessors.com/professor/3021688,Biology,"CARING, INSPIRATIONAL, AMAZING LECTURES, CLEAR GRADING CRITERIA, ACCESSIBLE OUTSIDE CLASS, AMAZING LECTURES, CLEAR GRADING CRITERIA, CARING, AMAZING LECTURES, INSPIRATIONAL, CARING, AMAZING LECTURES, INSPIRATIONAL, CARING, PARTICIPATION MATTERS, HILARIOUS, CARING, INSPIRATIONAL, CARING, ACCESSIBLE OUTSIDE CLASS"
"MCCAULEY, DOUGLAS",4.8,2.0,4,100%,https://www.ratemyprofessors.com/professor/2610280,Biology,"AMAZING LECTURES, LECTURE HEAVY, PARTICIPATION MATTERS, GROUP PROJECTS, CLEAR GRADING CRITERIA, GROUP PROJECTS, LECTURE HEAVY, GRADED BY FEW THINGS, AMAZING LECTURES, CARING, LECTURE HEAVY, PARTICIPATION MATTERS, AMAZING LECTURES, CLEAR GRADING CRITERIA"
"BRADY, SARAH",1.8,2.3,4,25%,https://www.ratemyprofessors.com/professor/2772528,Art,"GET READY TO READ, LECTURE HEAVY, GET READY TO READ, LECTURE HEAVY, GET READY TO READ, LECTURE HEAVY, GET READY TO READ"
"ARMSTEAD, SHAUN",5.0,3.0,1,100%,https://www.ratemyprofessors.com/professor/3079768,History,"GET READY TO READ, PARTICIPATION MATTERS, GET READY TO READ, PARTICIPATION MATTERS"
"PORTER, MATT",4.4,2.5,310,86%,https://www.ratemyprofessors.com/professor/1857546,Mathematics,"CLEAR GRADING CRITERIA, LOTS OF HOMEWORK, CARING, AMAZING LECTURES, ACCESSIBLE OUTSIDE CLASS, EXTRA CREDIT, LECTURE HEAVY, LOTS OF HOMEWORK, CARING, ACCESSIBLE OUTSIDE CLASS, EXTRA CREDIT, CARING, ACCESSIBLE OUTSIDE CLASS, CARING, ACCESSIBLE OUTSIDE CLASS, EXTRA CREDIT, CLEAR GRADING CRITERIA, ACCESSIBLE OUTSIDE CLASS"
"SCHLEY, NATHAN",2.5,3.3,132,40%,https://www.ratemyprofessors.com/professor/1984011,Mathematics,"LOTS OF HOMEWORK, EXTRA CREDIT, CARING, ACCESSIBLE OUTSIDE CLASS, TOUGH GRADER, PARTICIPATION MATTERS, CARING, GRADED BY FEW THINGS, LOTS OF HOMEWORK, HILARIOUS, CARING, BEWARE OF POP QUIZZES"
"REID, SCOTT",3.6,3.6,58,57%,https://www.ratemyprofessors.com/professor/931361,Communication,"LECTURE HEAVY, AMAZING LECTURES, TOUGH GRADER, RESPECTED, SKIP CLASS? YOU WON'T PASS., AMAZING LECTURES, RESPECTED, LECTURE HEAVY, GET READY TO READ, AMAZING LECTURES, HILARIOUS, TOUGH GRADER, LECTURE HEAVY, GRADED BY FEW THINGS, LECTURE HEAVY, TEST HEAVY, GRADED BY FEW THINGS, TOUGH GRADER, HILARIOUS, LECTURE HEAVY"
"NABI, ROBIN",3.6,4.0,58,53%,https://www.ratemyprofessors.com/professor/600908,Communication,"TOUGH GRADER, SKIP CLASS? YOU WON'T PASS., GRADED BY FEW THINGS, AMAZING LECTURES, LECTURE HEAVY, GRADED BY FEW THINGS, AMAZING LECTURES, RESPECTED, GRADED BY FEW THINGS, TOUGH GRADER, GRADED BY FEW THINGS, AMAZING LECTURES, CLEAR GRADING CRITERIA, CARING"
"LANG, MATTHEW",3.6,3.0,33,63%,https://www.ratemyprofessors.com/professor/3081750,Economics,"TEST HEAVY, GRADED BY FEW THINGS, ACCESSIBLE OUTSIDE CLASS, AMAZING LECTURES, CLEAR GRADING CRITERIA, GIVES GOOD FEEDBACK, INSPIRATIONAL, CARING, PARTICIPATION MATTERS, HILARIOUS, ACCESSIBLE OUTSIDE CLASS, AMAZING LECTURES, CLEAR GRADING CRITERIA, TEST HEAVY"
"SOBOTKA, TAGART",3.4,3.1,23,59%,https://www.ratemyprofessors.com/professor/2946451,Sociology,"GROUP PROJECTS, GET READY TO READ, TOUGH GRADER, PARTICIPATION MATTERS, AMAZING LECTURES, TOUGH GRADER, GROUP PROJECTS, TOUGH GRADER, GET READY TO READ, GROUP PROJECTS, TOUGH GRADER, GET READY TO READ, GROUP PROJECTS, GET READY TO READ, GROUP PROJECTS, LECTURE HEAVY, GET READY TO READ, CARING, ACCESSIBLE OUTSIDE CLASS"
"GUTIÉRREZ-MAGALLANES, DR. COCO",2.0,1.8,15,26%,https://www.ratemyprofessors.com/professor/2896190,Feminist Studies,"PARTICIPATION MATTERS, CARING, EXTRA CREDIT, HILARIOUS, GET READY TO READ, PARTICIPATION MATTERS, GROUP PROJECTS, CARING, EXTRA CREDIT, HILARIOUS, GRADED BY FEW THINGS"
"DING, QINGHUA",4.2,1.8,10,70%,https://www.ratemyprofessors.com/professor/2354857,Geography,"CARING, LECTURE HEAVY, ACCESSIBLE OUTSIDE CLASS, TOUGH GRADER, PARTICIPATION MATTERS, LECTURE HEAVY, TOUGH GRADER, LECTURE HEAVY, CLEAR GRADING CRITERIA, CARING, ACCESSIBLE OUTSIDE CLASS"
