instructor,rmp_rating,rmp_url
STEPHANIE PAZOS,1.0,https://www.ratemyprofessors.com/professor/3080855
SEBASTIAN STREICHAN,4.5,https://www.ratemyprofessors.com/professor/2354923
AMOS NATIDO,4.1,https://www.ratemyprofessors.com/professor/3149691
XIANZHE DAI,2.6,https://www.ratemyprofessors.com/professor/346088
SCOTT FULKERSON,4.3,https://www.ratemyprofessors.com/professor/2346208
HILARY BERNSTEIN,4.0,https://www.ratemyprofessors.com/professor/543961
PUJA PANDEY,4.0,https://www.ratemyprofessors.com/professor/2988389
TIMOTHY GILMORE,3.0,https://www.ratemyprofessors.com/professor/2020145
ERIKA ARENAS-VELAZQUEZ,2.2,https://www.ratemyprofessors.com/professor/2235158
JEN MARTIN,3.4,https://www.ratemyprofessors.com/professor/1981967
MARK ORLANDO,4.4,https://www.ratemyprofessors.com/professor/1969949
DAVID PELLOW,4.9,https://www.ratemyprofessors.com/professor/2151033
DENISE SEGURA,2.0,https://www.ratemyprofessors.com/professor/239947
JOE CHADA,4.5,https://www.ratemyprofessors.com/professor/2517201
CATHERINE TAYLOR,3.3,https://www.ratemyprofessors.com/professor/2468644
ELOI GRASSET,4.6,https://www.ratemyprofessors.com/professor/2146665
DAVID MALVINNI,2.7,https://www.ratemyprofessors.com/professor/2992085
OMAR PIMIENTA,5.0,https://www.ratemyprofessors.com/professor/3018042
ERIK NIELSEN,3.9,https://www.ratemyprofessors.com/professor/1254486
JEAN CARLSON,2.8,https://www.ratemyprofessors.com/professor/1477994
MATTO MILDENBERGER,4.0,https://www.ratemyprofessors.com/professor/2206290
CAROL MOREJON,5.0,https://www.ratemyprofessors.com/professor/3153468
HASAN EL-HASAN,4.9,https://www.ratemyprofessors.com/professor/3121401
DAVID CARR,4.4,https://www.ratemyprofessors.com/professor/748114
ALYSON SANTORO,5.0,https://www.ratemyprofessors.com/professor/2355075
RHEA BAKSHI,4.2,https://www.ratemyprofessors.com/professor/3042736
JUSTIN WILSON,3.7,https://www.ratemyprofessors.com/professor/3150990
HANNAH STEVENS,3.3,https://www.ratemyprofessors.com/professor/3129627
ELIZABETH DIGESER,2.8,https://www.ratemyprofessors.com/professor/464938
CHRISTOPHER BERNT,2.9,https://www.ratemyprofessors.com/professor/2184986
RUDOLPH WARE,3.3,https://www.ratemyprofessors.com/professor/2499604
MARVIN SANTIAGO,1.3,https://www.ratemyprofessors.com/professor/3143978
VICTOR RIOS,4.1,https://www.ratemyprofessors.com/professor/1253214
ANDREW WATTS,4.0,https://www.ratemyprofessors.com/professor/2665675
MATT RIOUX,4.4,https://www.ratemyprofessors.com/professor/2265040
BERNADETTE ANDREA,4.1,https://www.ratemyprofessors.com/professor/2386798
DANIEL LOKSHTANOV,3.7,https://www.ratemyprofessors.com/professor/2469933
JANET AFARY,3.8,https://www.ratemyprofessors.com/professor/1422158
KATE MCDONALD,4.5,https://www.ratemyprofessors.com/professor/2182410
PETER BOYLAND,1.9,https://www.ratemyprofessors.com/professor/3003411
GIOVANNI VIGNA,3.8,https://www.ratemyprofessors.com/professor/1264467
TENGIZ BIBILASHVILI,4.6,https://www.ratemyprofessors.com/professor/1831205
NEIL NARANG,4.8,https://www.ratemyprofessors.com/professor/1983498
JON NATHAN,2.4,https://www.ratemyprofessors.com/professor/653777
MARION PHILLIPS,5.0,https://www.ratemyprofessors.com/professor/2807649
TEJASWI NERELLA,3.7,https://www.ratemyprofessors.com/professor/3015715
LAILA SAKR,3.5,https://www.ratemyprofessors.com/professor/2678292
ANDREW FLANAGIN,3.6,https://www.ratemyprofessors.com/professor/23375
HENRY SANDER,3.6,https://www.ratemyprofessors.com/professor/123024
TAMMY AFIFI,4.3,https://www.ratemyprofessors.com/professor/954206
KAREN MYERS,4.2,https://www.ratemyprofessors.com/professor/995360
AAZAM FEIZ,5.0,https://www.ratemyprofessors.com/professor/2475022
ANNA BRUSUTTI,3.1,https://www.ratemyprofessors.com/professor/268051
CRAIG COTICH,4.2,https://www.ratemyprofessors.com/professor/409817
ANDY WYSS,2.8,https://www.ratemyprofessors.com/professor/2381552
AMY PROPEN,4.8,https://www.ratemyprofessors.com/professor/2151979
ROSE MACLEAN,5.0,https://www.ratemyprofessors.com/professor/1968571
CINDY MAYER,4.0,https://www.ratemyprofessors.com/professor/2579425
ANDRE CORREA DE SA,4.3,https://www.ratemyprofessors.com/professor/2430948
DOROTA DUTSCH,4.2,https://www.ratemyprofessors.com/professor/865785
MITCHELL KAUFFMAN,4.3,https://www.ratemyprofessors.com/professor/2599987
ALIREZA HOSSEINKHAN,1.5,https://www.ratemyprofessors.com/professor/3081046
UMA RAVAT,2.4,https://www.ratemyprofessors.com/professor/2633478
ALISA TAZHITDINOVA,2.2,https://www.ratemyprofessors.com/professor/2556139
MARIBEL BUENO,3.5,https://www.ratemyprofessors.com/professor/1038380
KAREL CASTEELS,4.3,https://www.ratemyprofessors.com/professor/1504927
GUOFANG WEI,2.0,https://www.ratemyprofessors.com/professor/2226208
NABEEL NASIR,4.9,https://www.ratemyprofessors.com/professor/3065963
OMISE'EKE TINSLEY,5.0,https://www.ratemyprofessors.com/professor/2605741
QIRUI PENG,4.6,https://www.ratemyprofessors.com/professor/3136865
ANNA SCHEWELEW,5.0,https://www.ratemyprofessors.com/professor/3133504
PETER ALAGONA,4.5,https://www.ratemyprofessors.com/professor/1701804
DAN LINZ,3.7,https://www.ratemyprofessors.com/professor/295619
MIGUEL ECKSTEIN,4.1,https://www.ratemyprofessors.com/professor/351446
SWATI RANA,3.3,https://www.ratemyprofessors.com/professor/1824075
ANNIE WERTZ,5.0,https://www.ratemyprofessors.com/professor/3044663
JEAN-MARIE VOLLAND,4.6,https://www.ratemyprofessors.com/professor/3032131
TIFFANY TA,5.0,https://www.ratemyprofessors.com/professor/2954285
STEFANIE TCHAROS,4.7,https://www.ratemyprofessors.com/professor/854637
TY VERNON,5.0,https://www.ratemyprofessors.com/professor/2558661
COSMIN BORSA,2.7,https://www.ratemyprofessors.com/professor/2718842
SUMA IKEUCHI,5.0,https://www.ratemyprofessors.com/professor/3081752
RICK YE,1.9,https://www.ratemyprofessors.com/professor/289498
DENIS LABUTIN,2.8,https://www.ratemyprofessors.com/professor/324784
VLADIMIR HAMED-TROYANSKY,4.7,https://www.ratemyprofessors.com/professor/2794650
MARTHA SPRIGGE,4.3,https://www.ratemyprofessors.com/professor/2117084
ZIAD MATNI,4.1,https://www.ratemyprofessors.com/professor/2178071
KATIE COBURN,3.1,https://www.ratemyprofessors.com/professor/2729512
RENEE HOUSTON,3.2,https://www.ratemyprofessors.com/professor/2945822
KAI THALER,5.0,https://www.ratemyprofessors.com/professor/2573489
TONIE SCROGGIN,3.7,https://www.ratemyprofessors.com/professor/3132241
KELLY BEDARD,2.9,https://www.ratemyprofessors.com/professor/907405
MATT JACKSON,4.5,https://www.ratemyprofessors.com/professor/2046041
CAROLE PAUL,2.9,https://www.ratemyprofessors.com/professor/351220
SKIRMANTAS JANUSONIS,4.1,https://www.ratemyprofessors.com/professor/956539
RUDY BUSTO,4.1,https://www.ratemyprofessors.com/professor/398812
LANNY EBENSTEIN,3.1,https://www.ratemyprofessors.com/professor/1983433
NICOLE WARWICK,4.7,https://www.ratemyprofessors.com/professor/1886356
WONA LEE,5.0,https://www.ratemyprofessors.com/professor/2489885
PAUL OEHLMANN,4.2,https://www.ratemyprofessors.com/professor/3063864
KM MOORE,3.4,https://www.ratemyprofessors.com/professor/1330445
NICK JURKOWSKI,4.3,https://www.ratemyprofessors.com/professor/2778054
CHARLES AKEMANN,2.1,https://www.ratemyprofessors.com/professor/15055
PEDRO CRAVEIRO,5.0,https://www.ratemyprofessors.com/professor/2238787
CHRISTOPHER DEAN,4.9,https://www.ratemyprofessors.com/professor/852141
ELIZABETH SAUR,4.9,https://www.ratemyprofessors.com/professor/2520672
EMILIE DRESSAIRE,4.8,https://www.ratemyprofessors.com/professor/2559096
BRICE ERICKSON,4.3,https://www.ratemyprofessors.com/professor/421896
LJILJANA COKLIN,3.8,https://www.ratemyprofessors.com/professor/189973
DAVID NIKITYN,5.0,https://www.ratemyprofessors.com/professor/3054276
THOMAS MAZANEC,4.1,https://www.ratemyprofessors.com/professor/2464677
WILLIAM FLEMING,4.8,https://www.ratemyprofessors.com/professor/2992481
KRISTY HAMILTON,4.2,https://www.ratemyprofessors.com/professor/2676927
ADINA ROSKIES,1.9,https://www.ratemyprofessors.com/professor/2993009
THOMAS PETTUS,2.3,https://www.ratemyprofessors.com/professor/335426
CRAIG RAWLINGS,4.7,https://www.ratemyprofessors.com/professor/1667800
FREDERIC GIBOU,4.0,https://www.ratemyprofessors.com/professor/862494
DOMINIC STEAVU-BALINT,4.6,https://www.ratemyprofessors.com/professor/1888746
SPENCER SMITH,2.9,https://www.ratemyprofessors.com/professor/2918454
JULIE SWENSON,4.3,https://www.ratemyprofessors.com/professor/2227068
BRUCE BIMBER,4.0,https://www.ratemyprofessors.com/professor/68204
STUART SWEENEY,3.2,https://www.ratemyprofessors.com/professor/1459
CAMILLA FIORINA,4.9,https://www.ratemyprofessors.com/professor/546131
ANDY MEROLLA,4.9,https://www.ratemyprofessors.com/professor/2194067
JOE MCFADDEN,4.4,https://www.ratemyprofessors.com/professor/1400365
ELIZABETH PEREZ,3.6,https://www.ratemyprofessors.com/professor/2268260
JESSICA ESPINO,2.3,https://www.ratemyprofessors.com/professor/3077807
AILI PETTERSSON PEEKER,5.0,https://www.ratemyprofessors.com/professor/3042154
KENNETH (KEN) HILTNER,3.7,https://www.ratemyprofessors.com/professor/932951
RICHARD HAIEM,3.3,https://www.ratemyprofessors.com/professor/3106490
JAVIER READ DE ALANIZ,4.1,https://www.ratemyprofessors.com/professor/2021912
ANNA PAJAK,4.8,https://www.ratemyprofessors.com/professor/2657283
PETRA KRANZFELDER,4.5,https://www.ratemyprofessors.com/professor/2982660
MENGYANG MICHAEL GU,3.9,https://www.ratemyprofessors.com/professor/2525428
BOB ANDERSON,3.4,https://www.ratemyprofessors.com/professor/409420
WILLIAM ELISON,4.2,https://www.ratemyprofessors.com/professor/2342733
NINO GONZALEZ,2.4,https://www.ratemyprofessors.com/professor/2496787
NINA MIOLANE,3.6,https://www.ratemyprofessors.com/professor/2744929
FRANCESCO BULLO,4.1,https://www.ratemyprofessors.com/professor/616057
LEAH CHIRINOS-ALEMAN,4.1,https://www.ratemyprofessors.com/professor/1982897
ANTHONY GRECO,3.8,https://www.ratemyprofessors.com/professor/2441782
BRIAN WAINWRIGHT,3.1,https://www.ratemyprofessors.com/professor/2530808
BRIAN ERNST,4.9,https://www.ratemyprofessors.com/professor/1693991
